Наименование,Описание,Цена,Старая цена,Местоположение,Ссылка
"<img src=""https://52.img.avito.st/208x156/10829060352.jpg"">","BMW X5, 2014","160 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 845 000 ₽,-,"Свердловская область, Екатеринбург",https://www.avito.ru/ekaterinburg/avtomobili/bmw_x5_2014_2133665561
"<img src=""https://79.img.avito.st/208x156/10205655079.jpg"">","BMW X5, 2014","154 000 км, 4.4 AT (450 л.с.), внедорожник, полный, бензин",2 300 000 ₽,-,"Ульяновская область, Ульяновск",https://www.avito.ru/ulyanovsk/avtomobili/bmw_x5_2014_2066439503
"<img src=""https://71.img.avito.st/208x156/10820013171.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, дизель",от 8 790 000 ₽,9 470 000 ₽ без скидки,"Республика Адыгея, Тахтамукайский р-н, аул Новая Адыгея",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2021_2130017187
"<img src=""https://56.img.avito.st/208x156/10809766356.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 9 259 400 ₽,10 000 152 ₽ без скидки,"Москва, Новомосковский административный округ",https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138517175
"<img src=""https://10.img.avito.st/208x156/10825314410.jpg"">","BMW X5, 2003","260 000 км, 4.6 AT (347 л.с.), внедорожник, полный, бензин",600 000 ₽,-,"Нижегородская область, Нижний Новгород",https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_2003_2134830438
"<img src=""https://70.img.avito.st/208x156/10590545370.jpg"">","BMW X5, 2002","200 000 км, 4.6 AT (347 л.с.), внедорожник, полный, бензин",550 000 ₽,-,"Омская область, Омск",https://www.avito.ru/omsk/avtomobili/bmw_x5_2002_2080017889
"<img src=""https://46.img.avito.st/208x156/3460700846.jpg"">","BMW X5, 2010","207 000 км, 3.0 AT (269 л.с.), внедорожник, полный, дизель",1 499 000 ₽,-,"Мурманская область, Североморск",https://www.avito.ru/severomorsk/avtomobili/bmw_x5_2010_956662565
"<img src=""https://82.img.avito.st/208x156/10814318782.jpg"">","BMW X5, 2004","186 000 км, 3.0 AT (218 л.с.), внедорожник, полный, дизель",710 000 ₽,-,"Московская область, Жуковский",https://www.avito.ru/zhukovskiy/avtomobili/bmw_x5_2004_2133203693
"<img src=""https://37.img.avito.st/208x156/10153132537.jpg"">","BMW X5, 2000","378 000 км, 3.0 MT (231 л.с.), внедорожник, полный, бензин",499 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2000_1780945373
"<img src=""https://80.img.avito.st/208x156/10567406280.jpg"">","BMW X5, 2008","149 500 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",1 150 000 ₽,-,"Москва, Троицкий административный округ, поселение Первомайское, д. Горчаково",https://www.avito.ru/moskovskaya_oblast_troitsk/avtomobili/bmw_x5_2008_2094505613
"<img src=""https://41.img.avito.st/208x156/10828165341.jpg"">","BMW X5, 2008","149 236 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",999 000 ₽,-,"Новгородская область, Великий Новгород",https://www.avito.ru/velikiy_novgorod/avtomobili/bmw_x5_2008_2128827815
"<img src=""https://67.img.avito.st/208x156/10774650767.jpg"">","BMW X5, 2009","225 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Республика Татарстан, Набережные Челны",https://www.avito.ru/naberezhnye_chelny/avtomobili/bmw_x5_2009_2138470074
"<img src=""https://11.img.avito.st/208x156/10827437911.jpg"">","BMW X5, 2015","87 155 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 997 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2015_2135547507
"<img src=""https://92.img.avito.st/208x156/10822075992.jpg"">","BMW X5, 2010","175 000 км, 3.0 AT (245 л.с.), внедорожник, полный, дизель",1 450 000 ₽,-,"Республика Дагестан, Махачкала",https://www.avito.ru/mahachkala/avtomobili/bmw_x5_2010_2117799546
"<img src=""https://15.img.avito.st/208x156/9785207715.jpg"">","BMW X5, 2003","150 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",450 000 ₽,-,"Московская область, Мытищи",https://www.avito.ru/mytischi/avtomobili/bmw_x5_2003_2044749906
"<img src=""https://14.img.avito.st/208x156/10520055214.jpg"">","BMW X5, 2007","162 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",790 000 ₽,-,"Саратовская область, Саратов",https://www.avito.ru/saratov/avtomobili/bmw_x5_2007_2105346551
"<img src=""https://18.img.avito.st/208x156/10011171718.jpg"">","BMW X5, 2007","255 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",825 000 ₽,-,"Карачаево-Черкесская Республика, Прикубанский р-н, с. Николаевское",https://www.avito.ru/cherkessk/avtomobili/bmw_x5_2007_2066477405
"<img src=""https://66.img.avito.st/208x156/4494761466.jpg"">","BMW X5, 2001","288 654 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",450 000 ₽,-,"Нижегородская область, Нижний Новгород",https://www.avito.ru/nizhniy_novgorod/avtomobili/bmw_x5_2001_1377271861
"<img src=""https://61.img.avito.st/208x156/10585202561.jpg"">","BMW X5, 2008","250 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",890 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2008_2089111306
"<img src=""https://68.img.avito.st/208x156/10702398468.jpg"">","BMW X5, 2010","143 500 км, 3.0 AT (269 л.с.), внедорожник, полный, дизель",1 515 000 ₽,-,"Волгоградская область, Волгоград",https://www.avito.ru/volgograd/avtomobili/bmw_x5_2010_2093064541
"<img src=""https://74.img.avito.st/208x156/10820881274.jpg"">","BMW X5, 2017","38 300 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",4 055 000 ₽,-,"Московская область, г.о. Красногорск",https://www.avito.ru/moskovskaya_oblast_krasnogorsk/avtomobili/bmw_x5_2017_2122321014
"<img src=""https://16.img.avito.st/208x156/10824728716.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 10 012 700 ₽,10 212 700 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2118698411
"<img src=""https://57.img.avito.st/208x156/10586984957.jpg"">","BMW X5, 2003","250 000 км, 3.0 AT (231 л.с.), внедорожник, полный, бензин",450 000 ₽,-,"Республика Северная Осетия — Алания, Владикавказ",https://www.avito.ru/vladikavkaz/avtomobili/bmw_x5_2003_2085987660
"<img src=""https://34.img.avito.st/208x156/10797910034.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 321 000 ₽,8 071 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138535163
"<img src=""https://17.img.avito.st/208x156/10753604017.jpg"">","BMW X5, 2020","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 545 600 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2020_2079634680
"<img src=""https://05.img.avito.st/208x156/10820869005.jpg"">","BMW X5, 2006","350 000 км, 3.0 AT (264 л.с.), внедорожник, полный, бензин",830 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2006_2124689686
"<img src=""https://69.img.avito.st/208x156/10797910469.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 7 321 000 ₽,8 071 000 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2138364540
"<img src=""https://37.img.avito.st/208x156/10636257237.jpg"">","BMW X5, 2007","240 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",655 555 ₽,-,"Карачаево-Черкесская Республика, Черкесск",https://www.avito.ru/cherkessk/avtomobili/bmw_x5_2007_2093066955
"<img src=""https://33.img.avito.st/208x156/10568572833.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",от 6 760 200 ₽,7 510 200 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2106627805
"<img src=""https://81.img.avito.st/208x156/10378765681.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",7 765 400 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2084467832
"<img src=""https://15.img.avito.st/208x156/10770926615.jpg"">","BMW X5, 2007","245 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",850 000 ₽,-,"Нижегородская область, Дзержинск",https://www.avito.ru/dzerzhinsk/avtomobili/bmw_x5_2007_2120894317
"<img src=""https://18.img.avito.st/208x156/10595917218.jpg"">","BMW X5, 2010","204 000 км, 3.0 AT (235 л.с.), внедорожник, полный, дизель",1 690 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2010_2098550618
"<img src=""https://40.img.avito.st/208x156/10668234440.jpg"">","BMW X5, 2021","3.0 AT (340 л.с.), внедорожник, полный, дизель",от 8 430 000 ₽,9 273 000 ₽ без скидки,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2021_2094179258
"<img src=""https://59.img.avito.st/208x156/10738082659.jpg"">","BMW X5, 2014","108 472 км, 3.0 AT (306 л.с.), внедорожник, полный, бензин",2 380 000 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2014_2110928573
"<img src=""https://41.img.avito.st/208x156/10504725041.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 9 992 700 ₽,10 292 700 ₽ без скидки,"Краснодарский край, Сочи",https://www.avito.ru/sochi/avtomobili/bmw_x5_2021_2103283168
"<img src=""https://03.img.avito.st/208x156/10821193703.jpg"">","BMW X5, 2004","246 000 км, 4.4 AT (320 л.с.), внедорожник, полный, бензин",580 000 ₽,-,"Московская область, Подольск",https://www.avito.ru/podolsk/avtomobili/bmw_x5_2004_2140122599
"<img src=""https://47.img.avito.st/208x156/10742094547.jpg"">","BMW X5, 2021","3.0 AT (400 л.с.), внедорожник, полный, дизель",от 10 376 300 ₽,10 576 300 ₽ без скидки,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2021_2140481541
"<img src=""https://15.img.avito.st/208x156/8850008115.jpg"">","BMW X5, 2001","400 000 км, 4.4 AT (286 л.с.), внедорожник, полный, бензин",375 000 ₽,-,Севастополь,https://www.avito.ru/sevastopol/avtomobili/bmw_x5_2001_1895634829
"<img src=""https://96.img.avito.st/208x156/10819291996.jpg"">","BMW X5, 2015","87 362 км, 3.0 AT (313 л.с.), внедорожник, полный, дизель",3 545 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2015_2132044829
"<img src=""https://67.img.avito.st/208x156/10587576167.jpg"">","BMW X5, 2007","232 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",755 000 ₽,-,"Краснодарский край, Краснодар",https://www.avito.ru/krasnodar/avtomobili/bmw_x5_2007_2087591926
"<img src=""https://49.img.avito.st/208x156/10819315049.jpg"">","BMW X5, 2013","102 754 км, 4.4 AT (450 л.с.), внедорожник, полный, бензин",2 290 000 ₽,-,Санкт-Петербург,https://www.avito.ru/sankt-peterburg/avtomobili/bmw_x5_2013_2112317369
"<img src=""https://05.img.avito.st/208x156/10581690505.jpg"">","BMW X5, 2021","3.0 AT (249 л.с.), внедорожник, полный, дизель",8 838 100 ₽,-,"Московская область, Химки",https://www.avito.ru/himki/avtomobili/bmw_x5_2021_2084755072
"<img src=""https://04.img.avito.st/208x156/9820070204.jpg"">","BMW X5, 2008","254 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",900 000 ₽,-,"Челябинская область, Магнитогорск",https://www.avito.ru/magnitogorsk/avtomobili/bmw_x5_2008_2020927990
"<img src=""https://76.img.avito.st/208x156/10045793876.jpg"">","BMW X5, 2010","258 000 км, 3.0 AT (269 л.с.), внедорожник, полный, дизель",1 350 000 ₽,-,"Московская область, Балашиха",https://www.avito.ru/balashiha/avtomobili/bmw_x5_2010_2076098100
"<img src=""https://58.img.avito.st/208x156/10735769258.jpg"">","BMW X5, 2007","206 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",998 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2007_2132799232
"<img src=""https://89.img.avito.st/208x156/10014296489.jpg"">","BMW X5, 2008","154 486 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",1 199 000 ₽,-,"Пензенская область, Пенза",https://www.avito.ru/penza/avtomobili/bmw_x5_2008_2051918193
"<img src=""https://20.img.avito.st/208x156/10818745020.jpg"">","BMW X5, 2015","175 000 км, 3.0 AT (249 л.с.), внедорожник, полный, дизель",2 400 000 ₽,-,"Республика Татарстан, Лаишевский р-н, с. Песчаные Ковали",https://www.avito.ru/kazan/avtomobili/bmw_x5_2015_2120439058
"<img src=""https://76.img.avito.st/208x156/10578152776.jpg"">","BMW X5, 2008","220 000 км, 3.0 AT (272 л.с.), внедорожник, полный, бензин",795 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2008_2078412964
"<img src=""https://09.img.avito.st/208x156/10797179909.jpg"">","BMW X5, 2008","167 000 км, 4.8 AT (355 л.с.), внедорожник, полный, бензин",1 137 000 ₽,-,Москва,https://www.avito.ru/moskva/avtomobili/bmw_x5_2008_2120816598
